site,year,salinity,depth (ft)
638,2012,23.9,0.17128
641,2012,24.2,-0.010404
645,2012,23.18,0.18697
651,2012,22.7,0.060844
655,2012,24.69,0.25205
658,2012,16.16,0.09722
660,2012,19.37,-0.30533
661,2012,19.09,0.34561
662,2012,14.66,-0.20741
663,2012,14.46,0.021507
665,2012,11.32,0.34246
669,2012,13.14,0.0035026
672,2012,19.94,0.13668
677,2012,23.37,0.17898
682,2012,15.15,0.03877
683,2012,17.5,-0.094338
684,2012,20.34,0.019453
685,2012,22.94,-0.23175
687,2012,21.73,-0.089715
697,2012,10.57,-0.15954
978,2012,22.53,0.3088
1024,2012,19.59,-0.30646
1069,2012,23.88,-0.45364
1100,2012,3.24,0.033401
1130,2012,4.6,0.44024
1205,2012,27.18,0.018874
1277,2012,3.8,0.48299
1409,2012,4.1,0.33402
1446,2012,2.21,0.41945
1650,2012,5.56,-0.6146
1738,2012,22.1,0.13232
1743,2012,22,-0.055214
1858,2012,11.1,0.13372
2041,2012,6.66,-0.71212
2154,2012,22.31,0.094416
2156,2012,20.91,-0.073045
2219,2012,8.93,-0.38059
2334,2012,24.93,0.10442
2418,2012,25.2,0.1475
2493,2012,NaN,0.22501
2568,2012,0.14,-0.36821
2608,2012,0.15,-0.0087414
2627,2012,0.16,0.1684
2634,2012,0.16,-0.15293
2825,2012,0.95,-0.2098
2830,2012,3.55,-0.33644
2854,2012,4.64,-0.12638
3054,2012,0.9,-0.10084
3136,2012,0.25,-0.13295
3601,2012,11.1,-0.015635
3617,2012,9.01,0.040358
3626,2012,6.77,-0.02339
3639,2012,2.86,-0.38555
3641,2012,1.49,-0.22305
3650,2012,7.58,-0.34018
3664,2012,2.54,-0.047079
3680,2012,9.19,-0.3899
3784,2012,8.93,0.04912
3800,2012,9.61,0.11729
3913,2012,1.37,-0.27025
3985,2012,NaN,0.12076
4014,2012,0.12,-0.82125
4016,2012,0.1,-0.53026
4045,2012,0.36,-0.56015
4094,2012,2.3,-0.18487
4103,2012,0.9,-0.22985
4107,2012,NaN,-0.14423
4406,2012,6.26,0.1441
4407,2012,3.09,0.074568
4448,2012,0.15,0.94489
4455,2012,11.12,-0.22988
4529,2012,16.86,-0.36935
4551,2012,10.06,0.092353
4557,2012,19.85,-0.063783
4572,2012,13.11,-0.2284
4596,2012,15.01,-0.16934
4626,2012,0.17,-0.22726
4690,2012,5.61,-0.069279
4782,2012,0.12,-0.62
4808,2012,0.4,-0.049545
4900,2012,0.13,0.02033
